,name,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002
23,DilutedNIAvailtoComStockholders,"-2,625,000","-66,567,000","-7,042,000","-53,692,000","-125,632,000","-89,859,000","-13,500,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
24,BasicEPS,-0.01,-0.2,-0.02,-0.17,-0.39,-0.28,-0.04,-0.04,-0.05,-0.37,0.1,-0.12,-0.14,-0.181,-0.129,-0.233,-0.005,-0.037,-0.023
25,DilutedEPS,-0.01,-0.2,-0.02,-0.17,-0.39,-0.28,-0.04,-0.04,-0.05,-0.37,0.1,-0.12,-0.14,-0.181,-0.129,-0.233,-0.005,-0.037,-0.023
26,BasicAverageShares,"262,500,000","332,835,000","352,100,000","315,835,294","322,133,333","320,925,000","337,500,000","277,025,000","261,460,000","215,934,313","193,192,562","87,536,606","78,087,017","53,980,015","27,138,432","16,788,012","10,248,321","21,107,000","21,107,000"
27,DilutedAverageShares,"262,500,000","332,835,000","352,100,000","315,835,294","322,133,333","320,925,000","337,500,000","277,025,000","261,460,000","215,934,313","194,588,485","87,536,606","78,087,017","54,126,857","27,285,274","16,788,012","10,248,321","21,107,000","21,107,000"
28,TotalOperatingIncomeAsReported,"-3,260,000","-67,025,000","-6,294,000","-57,309,000","-143,206,000","-87,827,000","-12,025,000","-11,088,000","-16,205,000","-54,922,549.50","-12,399,676.80","-60,306,676.50","-16,286,734.80","-11,648,628","-6,788,868.77","-2,459,515.62","-1,073,703.37","-781,159.49","-507,419.67"
29,RentExpenseSupplemental,,"35,000","64,000","403,000","435,000","458,000","436,000","354,000","579,000","308,256","284,259","311,037.30","272,739.60","260,910","134,890.43",,,,
30,TotalExpenses,"3,260,000","5,018,000","6,294,000","11,720,000","20,901,000","11,868,000","12,025,000","11,088,000","13,020,000","-9,374,514.50","43,427,294.70","58,634,645.30","17,933,126.40","-2,013,021","6,788,868.77","2,459,515.62","1,073,703.37","781,159.49","507,419.67"
31,NetIncomeFromContinuingAndDiscontinuedOperation,"-2,625,000","-66,567,000","-7,042,000","-53,692,000","-125,632,000","-89,859,000","-13,500,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
32,NormalizedIncome,"-2,993,000","-3,794,000","-7,040,000","-8,103,000","-3,327,000","-13,900,000","-13,500,000","-11,081,000","-9,888,000","-35,112,285","19,480,718.10","40,303,193","-10,945,418.40","-20,074,014","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
