,name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
13,"		Inventory","104,180,000","149,653,000","158,134,000","137,204,000","124,325,000","128,729,000","106,241,000","88,866,000","78,777,000","54,407,000","43,402,000","44,723,000","33,098,000","29,145,000","26,165,000","21,313,000","20,826,000","22,533,000","22,511,000","28,934,000","25,598,000","25,200,000","25,400,000","19,600,000","16,900,000","21,300,000","21,000,000","17,600,000","17,600,000","16,700,000","10,100,000","8,800,000","7,700,000","8,600,000","6,700,000","8,600,000"
14,"			RawMaterials","104,180,000","149,653,000","158,134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"		PrepaidAssets","23,412,000","19,878,000","17,933,000","7,930,000","31,899,000","14,955,000","13,750,000","19,254,000","16,992,000","49,736,000","64,171,000","63,549,000","16,103,000","9,599,000","11,090,000","16,126,000","22,156,000","45,721,000","16,753,000","32,281,000","24,829,000",,,,,,,,,,,,,,,
16,"		RestrictedCash","45,577,000","31,291,000","39,830,000","32,439,000","27,566,000","29,998,000","28,244,000","23,691,000","28,989,000",,,,"10,274,000","6,203,000",,"2,195,000",,,,,,,,,,,,,,,,,,,,
17,"		CurrentDeferredAssets","4,528,000","10,571,000","6,484,000","6,458,000","9,913,000","29,099,000","36,652,000","37,131,000","37,364,000","19,855,000","14,282,000","12,861,000","21,939,000","11,559,000","10,168,000","8,765,000","4,346,000",,,,,,,,,,,,,,,,,,,
18,"			CurrentDeferredTaxesAssets",,,,,0,"17,200,000","16,519,000","25,736,000","17,555,000","19,855,000","14,282,000","12,861,000","21,939,000","11,559,000","10,168,000","8,765,000","4,346,000",,,,,,,,,,,,,,,,,,,
19,"		AssetsHeldForSaleCurrent",,,,"3,000","45,416,000","8,097,000","7,206,000","3,705,000","7,619,000","7,529,000",,,,,,,,,,,,,,,,,,,,,,,,,,
20,"		OtherCurrentAssets","13,421,000","5,037,000","2,151,000","8,293,000","8,689,000","15,265,000","19,150,000","16,276,000","8,903,000","584,538,000","10,270,000","1,023,000","24,887,000","13,072,000","9,263,000",,,,,,,"14,000,000","15,000,000","11,700,000","5,200,000","14,700,000","3,600,000","14,900,000","22,000,000","46,500,000","63,800,000","36,500,000","7,700,000","3,300,000","3,700,000","9,000,000"
21,"	TotalNonCurrentAssets","3,866,294,000","4,724,429,000","5,099,317,000","5,204,721,000","5,259,333,000","5,713,005,000","5,444,495,000","5,006,616,000","4,825,857,000","4,047,578,000","3,612,566,000","3,638,092,000","2,897,398,000","2,386,405,000","1,706,021,000","1,163,553,000","1,160,958,000","1,218,304,000","1,048,562,000","1,033,095,000","994,348,000","949,100,000","906,100,000","875,600,000","707,500,000","595,200,000","501,900,000","460,400,000","452,400,000","433,000,000","382,200,000","422,900,000","414,700,000","412,400,000","431,400,000","464,600,000"
22,"		NetPPE","3,675,123,000","4,473,147,000","4,788,494,000","4,977,215,000","5,122,581,000","5,545,095,000","5,166,486,000","4,654,408,000","4,351,571,000","3,677,070,000","3,275,020,000","3,265,907,000","2,682,251,000","2,152,616,000","1,483,134,000","981,965,000","998,674,000","1,058,205,000","897,445,000","818,404,000","673,605,000","691,200,000","692,400,000","539,000,000","463,500,000","423,800,000","400,700,000","358,800,000","364,600,000","336,500,000","282,700,000","292,500,000","280,900,000","272,000,000","273,100,000","301,600,000"
23,"			GrossPPE","8,487,394,000","9,089,197,000","9,077,359,000","8,816,929,000","8,424,700,000","8,538,184,000","7,835,011,000","6,957,373,000","6,306,098,000","5,341,061,000","4,683,694,000","4,546,337,000","3,754,251,000","3,057,271,000","2,303,716,000","1,737,989,000","1,683,112,000","1,679,210,000","1,439,322,000","1,686,567,000","1,480,390,000","1,448,300,000","1,378,600,000","1,160,900,000","1,070,400,000","1,010,800,000","943,200,000","873,300,000","848,800,000","783,400,000","703,400,000","694,400,000","650,300,000","621,300,000","602,900,000","586,700,000"
24,"				Properties","7,928,515,000","8,499,633,000","8,442,081,000","8,197,572,000","7,881,544,000","7,985,052,000","7,191,281,000","6,493,606,000","62,177,000","61,476,000","61,735,000","61,114,000",0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,
25,"				LandAndImprovements",,,,,,,,,,,,,"60,811,000","59,467,000",,"57,489,000","56,307,000","56,247,000","48,925,000","572,252,000","508,373,000",,,,,,,,,,,,,,,
26,"				MachineryFurnitureEquipment",,,,,,,,,"5,743,354,000","4,834,985,000","4,285,277,000","4,076,371,000","3,263,818,000","2,651,680,000","1,911,039,000","1,549,112,000","1,531,937,000","1,490,389,000","1,235,784,000","1,028,015,000","891,749,000",,,,,,,,,,,,,,,
27,"				OtherProperties","509,287,000","471,803,000","471,310,000","450,031,000","444,843,000","457,614,000","354,853,000","310,515,000","284,813,000","211,897,000","182,087,000","176,797,000","150,200,000","131,482,000","172,074,000","96,614,000","93,640,000","87,570,000","82,310,000","86,300,000","80,268,000",,,,,,,,,,,,,,,
28,"				ConstructionInProgress","49,592,000","117,761,000","163,968,000","169,326,000","98,313,000","95,518,000","288,877,000","153,252,000","215,754,000","232,703,000","154,595,000","232,055,000","279,422,000","214,642,000","220,603,000","34,774,000","1,228,000","45,004,000","72,303,000",,,,,,,,,,,,,,,,,
29,"			AccumulatedDepreciation","-4,812,271,000","-4,616,050,000","-4,288,865,000","-3,839,714,000","-3,302,119,000","-2,993,089,000","-2,668,525,000","-2,302,965,000","-1,954,527,000","-1,663,991,000","-1,408,674,000","-1,280,430,000","-1,072,000,000","-904,655,000","-820,582,000","-756,024,000","-684,438,000","-621,005,000","-541,877,000","-868,163,000","-806,785,000","-757,100,000","-686,200,000","-621,900,000","-606,900,000","-587,000,000","-542,500,000","-514,500,000","-484,200,000","-446,900,000","-420,700,000","-401,900,000","-369,400,000","-349,300,000","-329,800,000","-285,100,000"
30,"		GoodwillAndOtherIntangibleAssets","126,680,000","169,502,000","137,984,000","102,490,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"			Goodwill","45,653,000","82,786,000","64,777,000","51,705,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"			OtherIntangibleAssets","81,027,000","86,716,000","73,207,000","50,785,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"		InvestmentProperties","15,801,000","28,937,000","68,888,000","23,836,000","22,152,000","22,140,000","22,058,000","21,695,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
