,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985,ttm
39,TotalLiabilitiesNetMinorityInterest,"4,246,620,000","4,710,493,000","5,103,618,000","5,463,211,000","4,932,220,000","5,243,972,000","6,961,153,000","6,178,634,000","6,698,905,000","7,310,923,000","6,303,706,000","5,462,711,000","5,775,863,000","5,589,261,000","5,605,650,000","3,472,267,000","2,933,216,000","3,112,417,000","2,905,417,000","2,294,049,000","1,330,400,000","927,900,000","582,700,000","506,400,000","413,500,000","214,700,000","142,200,000","159,100,000","124,600,000","122,000,000","105,900,000","23,400,000","20,700,000","76,900,000","62,200,000","185,500,000",
40,	CurrentLiabilities,"515,469,000","656,548,000","832,077,000","919,476,000","821,934,000","1,006,499,000","1,567,475,000","1,311,424,000","1,132,382,000","1,802,562,000","2,154,380,000","608,622,000","1,128,859,000","1,494,132,000","854,360,000","1,352,456,000","1,199,316,000","598,373,000","751,454,000","330,130,000","279,179,000","265,500,000","244,400,000","235,000,000","156,400,000","150,600,000","76,100,000","80,300,000","65,700,000","67,800,000","51,900,000","16,400,000","17,600,000","11,200,000","11,900,000","21,300,000",
41,		PayablesAndAccruedExpenses,"341,465,000","412,065,000","546,205,000","531,064,000","400,623,000","469,562,000","1,000,814,000","797,796,000","696,649,000","1,003,725,000","775,362,000","608,459,000","792,301,000","697,039,000","754,137,000","541,383,000","382,834,000","289,585,000","242,569,000","299,843,000","139,162,000","80,300,000","58,500,000","86,100,000","65,000,000","53,900,000","26,700,000","37,300,000","16,300,000","17,500,000","8,500,000",,,,,,
42,			Payables,"263,334,000","349,091,000","472,133,000","435,494,000","311,847,000","357,216,000","891,726,000","680,927,000","591,228,000","861,156,000","381,070,000","262,122,000","424,908,000","348,524,000","459,179,000","336,589,000","211,600,000","128,840,000","109,163,000","131,821,000","139,162,000","80,300,000","58,500,000","86,100,000","65,000,000","53,900,000","26,700,000","37,300,000","16,300,000","17,500,000","8,500,000",,,,,,
43,				AccountsPayable,"220,922,000","295,159,000","392,843,000","363,416,000","264,578,000","271,984,000","780,060,000","545,512,000","499,010,000","782,753,000","355,282,000","226,423,000","424,908,000","348,524,000","459,179,000","336,589,000","211,600,000","128,840,000","109,163,000","131,821,000","139,162,000","80,300,000","58,500,000","86,100,000","65,000,000","53,900,000","26,700,000","37,300,000","16,300,000","17,500,000","8,500,000",,,,,,
44,				TotalTaxPayable,"38,759,000","46,100,000","53,960,000","54,930,000","30,230,000","85,232,000","111,666,000","135,415,000","92,218,000","72,362,000","25,788,000","35,699,000",,,,,,,,,,,,,,,,,,,,,,,,,
45,					IncomeTaxPayable,"10,157,000","14,628,000","20,761,000","22,835,000","13,811,000","41,394,000","53,221,000","58,634,000","33,628,000","27,710,000","25,788,000","35,699,000",,,,,,,,,,,,,,,,,,,,,,,,,
46,				DividendsPayable,"3,653,000","7,832,000","25,330,000","17,148,000","17,039,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,				DuetoRelatedPartiesCurrent,,,,,,,,,0,"6,041,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
48,			CurrentAccruedExpenses,"78,131,000","62,974,000","74,072,000","95,570,000","88,776,000","112,346,000","109,088,000","116,869,000","105,421,000","142,569,000","394,292,000","346,337,000","367,393,000","348,515,000","294,958,000","204,794,000","171,234,000","160,745,000","133,406,000","168,022,000",,,,,,,,,,,,,,,,,
