,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
18,OtherIncomeExpense,"136,267,000","-63,491,000","220,547,000","-21,903,000","987,000","-62,105,000","-30,836,000","-21,095,000","-6,446,000","4,843,000","1,279,000","1,432,000","-461,000",0,0,0,0,0,0,0,0,,0,,"-100,000",0,"100,000","1,300,000"
19,"	GainOnSaleOfSecurity","5,726,000","-25,426,000","19,001,000","-21,903,000","987,000","-62,105,000","-30,836,000","-21,095,000","-6,446,000",,,,,,,,,,,,,,,,,,,
20,"	EarningsFromEquityInterest","-1,349,000","-39,892,000","874,000",,,,,,,,,,,,,,,,,,,,,,,,,
21,"	SpecialIncomeCharges","-30,959,000","-2,820,000","200,672,000",,0,"-28,281,000","-89,495,000",,,"4,843,000",,,,,,,,,,,,,,,,,,
22,"		RestructuringAndMergernAcquisition","16,042,000","12,644,000",,,,,,,,,,,,,,,,,,,,,,,,,,
23,"		ImpairmentOfCapitalAssets","11,480,000",0,"-200,672,000",,,,,,,,,,,,,,,,,,,,,,,,,
24,"		WriteOff",,,,,0,"28,281,000","89,495,000",,,,,,,,,,,,,,,,,,,,,
25,"		OtherSpecialCharges",,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
26,"		GainOnSaleOfPPE","-3,437,000","9,824,000",,,,,,,,,,,,,,,,,,,,,,,,,,
27,"	OtherNonOperatingIncomeExpenses","162,849,000","4,647,000",,,,,,,,,,,,,,,,,,,,,,,,,,
28,PretaxIncome,"-120,528,000","-183,597,000","6,484,000","-187,796,000","-204,545,000","-129,754,000","111,214,000","197,067,000","319,537,000","311,610,000","188,039,000","187,703,000","363,119,000","377,676,000","513,336,000","271,008,000","171,164,000","133,307,000","82,695,000","164,787,000","129,039,000","52,500,000","85,400,000","123,400,000","46,500,000","30,900,000","34,600,000","12,600,000"
29,TaxProvision,"-53,788,000","-20,143,000","-52,180,000","-150,152,000","-54,023,000","-25,705,000","40,094,000","68,202,000","102,015,000","99,217,000","66,613,000","62,267,000","103,160,000","127,911,000","172,052,000","101,343,000","52,315,000","34,277,000","30,952,000","63,959,000","42,040,000","22,700,000","36,600,000","55,400,000","20,700,000","13,800,000","15,400,000","4,300,000"
30,NetIncomeCommonStockholders,"-79,329,000","-162,905,000","58,302,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","74,481,000","18,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
31,"	NetIncome","-79,329,000","-162,905,000","58,302,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
32,"		NetIncomeIncludingNoncontrollingInterests","-79,539,000","-163,454,000","58,664,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
33,"			NetIncomeContinuousOperations","-66,740,000","-163,454,000","58,664,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
34,"			NetIncomeDiscontinuousOperations","-12,799,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"		MinorityInterests","210,000","549,000","-362,000",,,,,,,,,,,,,,,,,,,,,,,,,
36,"	PreferredStockDividends",,,,,,,,,,,,,,,,,,,,,"12,518,000","11,000,000",,,,,,
37,DilutedNIAvailtoComStockholders,"-79,329,000","-162,905,000","58,302,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","74,481,000","18,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
38,BasicEPS,-0.49,-1.02,0.37,-0.24,-0.99,-0.68,0.47,0.84,1.42,1.39,0.79,0.82,1.7,1.64,2.25,1.12,0.79,0.66,0.35,0.685,0.597,0.21,0.36,0.55,0.212,0.15,0.175,0.08
39,DilutedEPS,-0.49,-1.02,0.37,-0.24,-0.99,-0.68,0.46,0.84,1.42,1.388,0.79,0.82,1.68,1.62,2.18,1.085,0.77,0.645,0.345,0.67,0.585,0.205,0.353,0.542,0.21,0.145,0.16,0.07
40,BasicAverageShares,"161,667,010","159,598,788","156,862,920","156,545,624","152,759,973","152,476,615","152,710,636","152,693,280","152,664,447","152,865,133","153,172,370","153,154,557","153,094,863","152,295,732","151,681,778","151,486,607","150,441,772","150,045,455","147,837,143","147,194,161","124,828,492","104,705,882","135,555,556","123,636,364","121,889,764","114,000,000","109,714,286","103,750,000"
41,DilutedAverageShares,"161,927,251","159,686,192","157,041,720","156,727,777","153,184,332","152,476,615","153,158,330","153,620,372","152,994,985","153,062,375","153,172,847","153,260,657","154,408,234","154,175,926","156,552,294","156,373,272","154,349,351","153,534,884","149,979,710","150,489,552","127,317,949","111,250,000","138,113,208","125,538,462","122,857,143","117,931,034","120,000,000","118,571,429"
42,TotalOperatingIncomeAsReported,,,,,"175,061,000","42,736,000","162,737,000","235,637,000","344,145,000",,,,"370,125,000","382,925,000","518,463,000","277,831,000","174,667,000","137,823,000","84,618,000","165,892,000","132,552,000",,"89,500,000",,"47,900,000","32,600,000","36,100,000","12,400,000"
43,TotalExpenses,"1,074,352,000","1,563,194,000","1,318,004,000","1,125,333,000","1,034,763,000","1,433,714,000","2,159,028,000","1,862,374,000","1,853,176,000","1,577,666,000","1,166,365,000","948,440,000","1,335,454,000","1,194,676,000","1,288,767,000","1,242,893,000","884,827,000","791,137,000","567,150,000","601,777,000","539,489,000","316,100,000","329,400,000","391,000,000","197,500,000","148,100,000","138,800,000","80,300,000"
44,NetIncomeFromContinuingAndDiscontinuedOperation,"-79,329,000","-162,905,000","58,302,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
45,NormalizedIncome,"-47,983,745","-137,822,552","-103,157,655","-21,545,295","-151,248,320.44","-54,247,351.15","90,839,246.86","142,659,329.72","221,910,057.76","209,092,017.04","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
46,InterestIncome,,,,"281,000","367,000","420,000","859,000","1,320,000","504,000","647,000",,,,,,,,,,,,,,,,,,
47,InterestExpense,"107,374,000","149,159,000","52,416,000","41,491,000","30,838,000","25,333,000","21,546,000","18,795,000","18,666,000","6,586,000","1,279,000","1,432,000","6,545,000","5,249,000","5,127,000","6,823,000","3,503,000","4,516,000","1,923,000","1,105,000","3,513,000",,"4,100,000",,"1,300,000","1,700,000","1,600,000","1,200,000"
48,NetInterestIncome,"-119,261,000","-149,159,000","-52,416,000","-41,210,000","-30,471,000","-24,913,000","-20,687,000","-17,475,000","-18,162,000","-5,939,000","-1,279,000","-1,432,000","-6,545,000","-5,249,000","-5,127,000","-6,823,000","-3,503,000","-4,516,000","-1,923,000","-1,105,000","-3,513,000",,"-4,100,000",,"-1,300,000","-1,700,000","-1,600,000","-1,200,000"
49,EBIT,"-13,154,000","-34,438,000","58,900,000","-146,305,000","-173,707,000","-104,421,000","132,760,000","215,862,000","338,203,000","318,196,000","189,318,000","189,135,000","370,125,000","382,925,000","518,463,000","277,831,000","174,667,000","137,823,000","84,618,000","165,892,000","132,552,000","56,200,000","89,500,000","126,500,000","47,900,000","32,600,000","36,100,000","12,400,000"
50,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ReconciledCostOfRevenue,"1,032,906,000","1,504,083,000","1,270,860,000","1,085,511,000","971,973,000","1,330,538,000","1,985,249,000","1,772,199,000","1,775,736,000","1,322,926,000","991,977,000","781,021,000","1,145,884,000","1,054,334,000","1,161,213,000","1,031,412,000","776,688,000","683,878,000","498,325,000","546,350,000","486,024,000","274,100,000","290,900,000","359,300,000","177,500,000","134,400,000","128,300,000","73,800,000"
52,ReconciledDepreciation,"374,705,000","363,144,000","415,036,000","325,811,000","349,947,000","335,513,000","298,854,000","248,026,000","220,227,000","177,927,000","135,799,000","111,015,000","125,809,000","92,636,000","80,921,000","74,917,000","50,956,000","44,209,000","39,170,000","29,184,000","26,525,000","22,700,000","20,500,000","12,500,000","6,400,000","5,000,000","3,400,000","2,200,000"
53,NetIncomeFromContinuingOperationNetMinorityInterest,"-66,530,000","-162,905,000","58,302,000","-37,644,000","-150,522,000","-104,049,000","71,120,000","128,865,000","217,522,000","212,393,000","121,426,000","125,436,000","259,959,000","249,765,000","341,284,000","169,665,000","118,849,000","99,030,000","51,743,000","100,828,000","86,999,000","29,800,000","48,800,000","68,000,000","25,800,000","17,100,000","19,200,000","8,300,000"
54,TotalUnusualItemsExcludingGoodwill,"-25,233,000","-28,246,000","219,673,000","-21,903,000","987,000","-62,105,000","-30,836,000","-21,095,000","-6,446,000","4,843,000",,,,,,,,,,,,,,,,,,
55,TotalUnusualItems,"-25,233,000","-28,246,000","219,673,000","-21,903,000","987,000","-62,105,000","-30,836,000","-21,095,000","-6,446,000","4,843,000",,,,,,,,,,,,,,,,,,
56,NormalizedEBITDA,"386,784,000","356,952,000","254,263,000","201,409,000","175,253,000","293,197,000","462,450,000","484,983,000","564,876,000","491,280,000","325,117,000","300,150,000","495,934,000","475,561,000","599,384,000","352,748,000","225,623,000","182,032,000","123,788,000","195,076,000","159,077,000","78,900,000","110,000,000","139,000,000","54,300,000","37,600,000","39,500,000","14,600,000"
57,TaxRateForCalcs,0.265,0.112,0.265,0.265,0.264,0.198,0.361,0.346,0.319,0.318,0.354,0.332,0.284,0.339,0.335,0.374,0.306,0.257,0.374,0.388,0.326,0.4,0.4,0.4,0.4,0.4,0.4,0.341
58,TaxEffectOfUnusualItems,"-6,686,745","-3,163,552","58,213,345","-5,804,295","260,679.56","-12,303,351.15","-11,116,753.14","-7,300,670.28","-2,057,942.24","1,542,017.04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ROA1,-0.02597125,-0.046938556,0.01497185,-0.012724166,-0.046827475,-0.028917441,0.019100591,0.03803933,0.07083153,0.069680159,0.054106104,0.058942996,0.116634423,0.13980219,0.193674882,0.111450209,0.104323057,0.09630533,0.059625352,0.156800418,0.143414559,0.060878447,0.117223156,0.202020202,0.109787234,0.153776978,0.168865435,0.121167883
2,ROA2,-0.024315052,-0.044239358,0.01701609,-0.012196616,-0.044189718,-0.028422534,0.020002467,0.039904593,0.071096192,0.080264413,0.05554318,0.057580046,0.129481127,0.140763867,0.207815647,0.127491989,0.109662972,0.104456847,0.068495853,0.161368692,0.15873905,0.065798189,0.129632089,0.237928621,0.149046794,0.152067586,0.210757409,#REF!
3,ROE,-0.058115462,-0.111348291,0.032558527,-0.022282784,-0.082140739,-0.049865427,0.034773476,0.065661386,0.117075843,0.123239114,0.077300043,0.081941629,0.167591034,0.200742482,0.308127898,0.219801218,0.182917782,0.175691331,0.108823579,0.233366276,0.256896419,0.116043614,0.186330661,0.457604307,0.304604486,0.275806452,0.41025641,0.299638989
4,ROC,-0.028701523,-0.0531663,0.016575613,-0.015495764,-0.059029439,-0.036119283,0.025116861,0.049439843,0.091145455,0.089699998,0.07018134,0.073794521,0.149350739,0.183357498,0.289814656,0.180941066,0.159170565,0.144449145,0.085512616,0.225312959,0.233183772,0.103977669,0.150477953,0.345177665,0.158088235,0.223237598,0.303317536,0.183628319
5,OperatingMargin,-0.146809733,0.018246541,-0.139789875,-0.124602009,-0.203629862,-0.030723707,0.070091934,0.112314473,0.156620266,0.165420351,0.13964769,0.166261565,0.217008418,0.242726139,0.286882688,0.182696531,0.164858885,0.148362685,0.129828405,0.216098344,0.197237966,0.150953532,0.21365481,0.244444444,0.195191524,0.180409519,0.206403659,0.133764833
6,NetMargin,-0.084679201,-0.102311388,0.050418686,-0.037619547,-0.175086251,-0.074802765,0.030631868,0.061422462,0.098994184,0.112355134,0.089568137,0.110266136,0.152416863,0.158319499,0.1888437,0.111568569,0.112175246,0.106603083,0.079388678,0.131343066,0.129454899,0.080042976,0.116495584,0.131400966,0.105134474,0.094631987,0.109777015,0.089536138
7,CurrentRatio,1.605167229,1.526288087,0.767392725,0.513021241,0.964298404,1.765920954,1.464013502,0.893208328,1.026714747,0.982109108,1.244355913,1.319738031,1.260252753,1.179644003,1.156063066,0.976431371,1.045013194,0.935800016,0.869974767,1.701813608,1.307985378,1.328970332,1.712418301,1.229740362,0.95661157,1.424778761,0.978967495,1.03654485
8,QuickRatio,1.281884014,1.330289944,0.680773417,0.381493899,0.807925863,1.384625188,1.305356881,0.792869548,0.879572595,0.908487727,1.07152191,1.138875965,1.112345616,0.912133243,0.965245194,0.872330969,0.903954534,0.808813615,0.727619623,1.47208991,1.118386876,1.209424084,1.509803922,1.191188041,0.905991736,1.312684366,0.921606119,0.966777409
9,D/Eratio,1.024821542,1.094339661,0.964242694,0.437991898,0.391521586,0.380576307,0.384467424,0.328106681,0.28449459,0.3739032,0.101432991,0.11040262,0.122130599,0.094814685,0.063189494,0.2147669,0.149193524,0.216285023,0.272602613,0.035742804,0.101690811,0.116043614,0.238258877,0.325706595,0.926800472,0.235483871,0.352564103,0.631768953
10,EPS,-0.490188215,-1.001471879,0.371679252,-0.240087982,-0.979993751,-0.683174308,0.466568289,0.843507119,1.425593751,1.390024902,0.79254563,0.818622662,1.6975805,1.632009612,2.241338701,1.120549444,0.787590998,0.658750889,0.346757006,0.682917523,0.593818254,0.206826683,0.345086616,0.546375668,0.210482529,0.143339374,0.177216032,0.078457477
