,name,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,ttm
0,TotalAssets,"1,022,000","918,000","2,203,000","2,310,000","3,030,000","3,559,000","3,112,000","3,457,000","3,300,000","5,900,000","7,200,000","6,900,000","7,600,000","8,600,000","8,100,000","8,700,000","10,600,000","12,900,000","24,400,000",
1,	CurrentAssets,"928,000","623,000","1,487,000","1,881,000","2,213,000","2,988,000","429,000","894,000","600,000","1,200,000","1,900,000","1,500,000","1,700,000","1,700,000","1,600,000","1,600,000","2,000,000","3,800,000","6,000,000",
2,		CashCashEquivalentsAndShortTermInvestments,"618,000","429,000","1,453,000","1,787,000","2,128,000","2,928,000","235,000","614,000","300,000","200,000","300,000","800,000","700,000","400,000","700,000","700,000","1,100,000","2,500,000","1,500,000",
3,			CashAndCashEquivalents,"618,000","429,000","1,453,000","1,787,000","2,128,000","2,928,000","235,000","614,000","300,000","200,000","300,000","800,000","700,000","400,000","700,000","700,000","1,100,000","2,500,000","1,500,000",
4,		Receivables,"49,000","133,000",0,"64,000","54,000","8,000","115,000","183,000","100,000","600,000","1,100,000","500,000","800,000","1,100,000","700,000","700,000","700,000","1,000,000","4,300,000",
5,			AccountsReceivable,"14,000","33,000",0,"64,000","54,000","8,000","115,000","183,000",,,,,,,,,,,,
6,			NotesReceivable,"35,000","100,000",,,,,,,,,,,,,,,,,,
7,		Inventory,,,,,,0,"50,000","61,000","200,000","400,000","300,000","100,000","100,000","100,000","100,000",,,"100,000","100,000",
8,		PrepaidAssets,"61,000","61,000","34,000","30,000","31,000","52,000","7,000","16,000",,,,,,,,,,,,
9,		OtherCurrentAssets,"200,000",0,0,0,,0,"22,000","20,000",0,0,"200,000","100,000","100,000","100,000","100,000","200,000","200,000","200,000","100,000",
10,	TotalNonCurrentAssets,"94,000","295,000","716,000","429,000","817,000","571,000","2,683,000","2,563,000","2,700,000","4,700,000","5,300,000","5,400,000","5,900,000","6,900,000","6,500,000","7,100,000","8,600,000","9,100,000","18,400,000",
11,		NetPPE,0,"131,000","436,000","379,000","355,000","129,000","2,198,000","2,062,000","2,200,000","3,700,000","4,200,000","4,400,000","4,900,000","5,800,000","5,500,000","5,900,000","8,200,000","8,600,000","16,200,000",
12,			GrossPPE,0,"131,000","436,000","379,000","355,000","129,000","2,198,000","2,062,000","23,400,000","14,100,000","14,100,000","14,200,000","14,100,000","8,100,000","14,300,000","20,200,000","23,800,000","17,400,000","24,100,000",
13,			AccumulatedDepreciation,,,,,,,,,"-21,200,000","-10,400,000","-9,900,000","-9,800,000","-9,200,000","-2,300,000","-8,800,000","-14,300,000","-15,600,000","-8,800,000","-7,900,000",
14,		NonCurrentNoteReceivables,,,,"25,000","437,000","417,000","445,000","461,000",,,,,,,,,,,,
15,		OtherNonCurrentAssets,"94,000","164,000","280,000","25,000","25,000","25,000","40,000","40,000","500,000","1,000,000","1,100,000","1,000,000","1,000,000","1,100,000","1,000,000","1,200,000",,"500,000","2,200,000",
