,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
36,DilutedAverageShares,,"123,157,627","125,914,794","126,076,680","124,449,285","82,787,612","35,248,771","32,430,432","32,430,432","32,430,432"
37,TotalOperatingIncomeAsReported,"-1,340,795,000","-870,844,000","-348,994,000","-883,426,000","-2,519,324,000","-1,455,036,000","-473,020,074","-97,033,319","-113,446,405","-100,374,130"
38,TotalExpenses,"1,791,054,000","3,151,831,000","2,589,143,000","3,075,526,000","13,067,597,000","9,100,296,000","4,007,959,253","2,046,720,733","1,226,326,985","865,916,865"
39,NetIncomeFromContinuingAndDiscontinuedOperation,"-1,307,956,000","-699,199,000","-187,934,000","-773,029,000","-2,427,197,000","-1,459,379,000","-447,857,851","-79,632,079","-107,189,923","-91,949,864"
40,NormalizedIncome,"-1,326,582,400","-698,350,750","-179,137,250","-771,233,500","-2,417,472,734","-1,376,261,000","-442,524,207","-80,918,547","-106,634,414.50","-98,479,183"
41,InterestIncome,"3,526,000","156,862,000","152,929,000","130,250,000","87,305,000","76,516,000","31,283,593","16,163,339","7,431,724","2,287,309"
42,InterestExpense,"32,266,000","34,052,000",,,,,,,,
43,NetInterestIncome,"-28,740,000","122,810,000","152,929,000","130,250,000","87,305,000","76,516,000","31,283,593","16,163,339","7,431,724","2,287,309"
44,EBIT,"-1,318,802,000","-696,604,000","-348,994,000","-883,426,000","-2,519,324,000","-1,455,036,000","-473,020,074","-97,033,319","-113,446,405","-100,374,130"
45,EBITDA,,,,,,,,,,
46,ReconciledCostOfRevenue,"237,065,000","1,200,012,000","1,065,022,000","1,024,206,000","9,921,304,000","7,274,675,000","3,308,800,795","1,829,665,386","1,073,731,629","741,715,590"
47,ReconciledDepreciation,"223,385,000","322,572,000","220,161,000","215,796,000","211,573,000","85,851,000","11,852,763","9,246,061","10,721,378","6,742,807"
48,NetIncomeFromContinuingOperationNetMinorityInterest,"-1,307,956,000","-699,199,000","-187,934,000","-773,029,000","-2,427,197,000","-1,459,379,000","-447,857,851","-79,632,079","-107,189,923","-91,949,864"
49,TotalUnusualItemsExcludingGoodwill,"18,720,000","-1,131,000","-11,729,000","-2,394,000","-9,734,000","-83,118,000","-5,333,644","1,286,468","-740,678","6,529,319"
50,TotalUnusualItems,"18,720,000","-1,131,000","-11,729,000","-2,394,000","-9,734,000","-83,118,000","-5,333,644","1,286,468","-740,678","6,529,319"
51,NormalizedEBITDA,"-1,114,137,000","-372,901,000","-117,104,000","-665,236,000","-2,298,017,000","-1,286,067,000","-455,833,667","-89,073,726","-101,984,349","-100,160,642"
52,TaxRateForCalcs,0.005,0.25,0.25,0.25,0.001,0,0,0,0.25,0
