name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
		NetPPE,"117,704,000","149,116,000","172,748,000","144,832,000","313,749,000","324,905,000","338,526,000","354,735,000","317,085,000","190,094,000","161,681,000","152,962,000","146,372,000","143,043,000","125,322,253.7","105,036,235",,,,
			GrossPPE,"205,947,000","256,302,000","284,221,000","194,913,000","452,389,000","442,969,000","436,968,000","437,019,000","383,085,000","251,532,000","217,324,000","200,035,000","188,007,000",,"148,129,656.1","121,142,867.5",,,,
				Properties,,"0","0","0","0","0","0","0","0","18,338,000","20,082,000","17,379,000","18,033,000",,"0","0",,,,
				LandAndImprovements,,"16,564,000","22,275,000","17,241,000","38,575,000","38,576,000","37,675,000","38,228,000","32,318,000",,,,,,,,,,,
				BuildingsAndImprovements,,,,"127,608,000","253,739,000","252,664,000",,"252,842,000","155,343,000","140,301,000","133,874,000","125,310,000","119,392,000",,"87,533,673.2","76,633,662",,,,
				MachineryFurnitureEquipment,"203,694,000","256,302,000","280,008,000","193,402,000","446,423,000","438,595,000","433,232,000","421,722,000","95,554,000","64,438,000","53,986,000","47,009,000","43,000,000",,"50,842,817.4","40,641,999",,,,
				OtherProperties,"2,253,000",,,"0","313,749,000","324,905,000","338,526,000","354,735,000","317,085,000","0","0","1,299,000","0",,"-371,173.1","16,147",,,,
				ConstructionInProgress,,"0","4,213,000","1,511,000","5,966,000","4,374,000","3,736,000","15,297,000","131,976,000","28,243,000","8,083,000","9,038,000","6,283,000",,"10,124,338.6","3,851,059.5",,,,
				Leases,,,,,,,,"0","212,000","212,000","1,299,000",,"1,299,000",,,,,,,
			AccumulatedDepreciation,"-88,243,000","-107,186,000","-111,473,000","-50,081,000","-138,640,000","-118,064,000","-98,442,000","-82,284,000","-66,000,000","-61,438,000","-55,643,000","-47,073,000","-41,635,000",,"-22,807,402.4","-16,106,632.5",,,,
		GoodwillAndOtherIntangibleAssets,"14,433,000","18,382,000","24,926,000","29,590,000","67,643,000","75,085,000","78,663,000","68,295,000","69,876,000","74,299,000","72,916,000","73,809,000","70,025,000","81,276,000","57,650,290","21,402,848.5",,,,
			Goodwill,,,,,"11,973,000","11,973,000","11,973,000","11,973,000","11,973,000","11,973,000","16,665,000","16,665,000","16,665,000","16,665,000","10,890,376.7",,,,,
			OtherIntangibleAssets,"14,433,000","18,382,000","24,926,000","29,590,000","55,670,000","63,112,000","66,690,000","56,322,000","57,903,000","62,326,000","56,251,000","57,144,000","53,360,000","64,611,000","46,759,913.3","21,402,848.5",,,,
		InvestmentsAndAdvances,"10,353,000","16,347,000","16,347,000","18,721,000","18,721,000","18,721,000","18,721,000","24,894,000","22,433,000","20,503,000","22,505,000","65,453,000","65,384,000","58,882,000",,,,,,
			LongTermEquityInvestment,,,,,,,"18,721,000","24,894,000","22,433,000",,,,,"58,882,000",,,,,,
		NonCurrentAccountsReceivable,"42,246,000",,,,,,,,,,,,,"7,325,000",,,,,,
		DuefromRelatedPartiesNonCurrent,"42,246,000",,,,,,,,,,,,,"7,325,000",,,,,,
		NonCurrentDeferredAssets,,,,,,,,"0","1,755,000","3,028,000","9,766,000","15,040,000","26,192,000","12,828,000","4,035,520.3","331,013.5",,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,"0","1,755,000","3,028,000","9,766,000","15,040,000","26,192,000","12,828,000","4,035,520.3","331,013.5",,,,
		NonCurrentPrepaidAssets,,"2,393,000","1,202,000","1,196,000","2,369,000","3,029,000","3,961,000","11,225,000",,,,,,,,,,,,
		OtherNonCurrentAssets,"5,749,000","5,652,000",,"40,742,000","42,000","20,330,000","48,000","14,381,000","5,246,000","22,668,000","3,882,000","3,991,000","20,781,000","13,306,000","78,443,880.9","22,848,005",,,,
TotalLiabilitiesNetMinorityInterest,"340,345,000","276,587,000","453,449,000","211,341,000","662,009,000","695,051,000","755,283,000","837,827,000","662,005,000","532,571,000","606,037,000","546,822,000","591,048,000","765,291,000","512,053,034.7","504,593,750","36,327,436.109","501,018.472","208,031,000","77,212,000"
	CurrentLiabilities,"176,940,000","247,802,000","432,171,000","134,104,000","614,502,000","634,140,000","704,611,000","751,978,000","605,195,000","532,571,000","596,611,000","546,822,000","487,576,000","499,347,000","509,170,520.2","499,838,458.5","2,358,461.491","501,018.472","205,158,000","77,212,000"
