name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,"-5,900,000","-14,400,000","-19,300,000",,,,,,,,,,,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,,"-61,200,000","-27,600,000","-32,300,000",,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,"150,000,000","161,900,000","166,600,000","170,900,000","154,300,000","152,000,000","192,800,000","27,600,000","27,800,000"
	MinorityInterest,"5,700,000","4,500,000","5,000,000","12,900,000","19,100,000","12,400,000","13,500,000",,,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"2,152,300,000","2,242,200,000","2,238,400,000","1,906,800,000","1,846,300,000","1,649,200,000","1,246,100,000","1,188,600,000","1,383,000,000","1,351,600,000","1,201,200,000","1,234,200,000","1,286,200,000","1,510,700,000","1,556,900,000","1,408,600,000","1,483,100,000","1,430,400,000","1,325,100,000","1,322,700,000","1,291,300,000","1,336,900,000","763,100,000","609,100,000","587,400,000","655,600,000","388,300,000","230,100,000","207,600,000","172,300,000","178,200,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,"173,900,000","177,300,000","177,300,000","177,300,000","177,300,000",,,,,
CommonStockEquity,"697,200,000","718,700,000","354,600,000","648,800,000","715,200,000","620,700,000","553,700,000","710,500,000","601,900,000","559,800,000","764,500,000","584,500,000","436,700,000","479,300,000","1,081,700,000","1,026,200,000","874,600,000","728,200,000","593,900,000","506,200,000","477,900,000","269,400,000","226,600,000","212,000,000","187,000,000","206,300,000","168,200,000","143,000,000","175,900,000","-100,000","-4,200,000"
CapitalLeaseObligations,"160,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-526,100,000","-527,500,000","-1,045,700,000","-541,700,000","-408,900,000","-475,200,000","-99,900,000","111,000,000","-14,600,000","-68,900,000","61,500,000","-154,900,000","-308,200,000","-402,400,000","198,900,000","153,800,000","25,700,000","-107,300,000","-197,800,000","-264,900,000","-265,200,000","-350,800,000","-31,200,000","37,100,000","77,600,000","89,900,000","34,700,000","81,700,000","119,600,000","-60,500,000","-69,700,000"
WorkingCapital,"266,200,000","421,200,000","273,000,000","337,200,000","398,600,000","335,500,000","390,300,000","371,200,000","566,400,000","523,900,000","313,700,000","334,100,000","366,800,000","412,700,000","445,800,000","301,600,000","396,700,000","364,400,000","278,300,000","249,100,000","234,100,000","274,800,000","135,300,000","146,500,000","181,200,000","229,800,000","140,600,000","78,800,000","54,800,000","21,300,000","18,200,000"
InvestedCapital,"2,218,700,000","2,370,300,000","2,371,000,000","2,049,900,000","2,031,300,000","1,784,000,000","1,338,000,000","1,281,000,000","1,384,500,000","1,354,800,000","1,396,200,000","1,394,600,000","1,436,200,000","1,597,100,000","1,562,900,000","1,419,700,000","1,505,200,000","1,485,800,000","1,423,300,000","1,394,000,000","1,340,700,000","1,219,400,000","599,100,000","433,300,000","412,300,000","478,800,000","415,500,000","235,500,000","209,800,000","202,600,000","214,400,000"
TangibleBookValue,"-526,100,000","-527,500,000","-1,045,700,000","-541,700,000","-408,900,000","-475,200,000","-99,900,000","111,000,000","-14,600,000","-68,900,000","61,500,000","-154,900,000","-308,200,000","-402,400,000","198,900,000","153,800,000","25,700,000","-107,300,000","-197,800,000","-264,900,000","-265,200,000","-524,700,000","-208,500,000","-140,200,000","-99,700,000","-87,400,000","34,700,000","81,700,000","119,600,000","-60,500,000","-69,700,000"
TotalDebt,"1,682,300,000","1,651,600,000","2,016,400,000","1,401,100,000","1,316,100,000","1,163,300,000","784,300,000","570,500,000","782,600,000","795,000,000","631,700,000","810,100,000","999,500,000","1,117,800,000","481,200,000","393,500,000","630,600,000","757,600,000","829,400,000","887,800,000","862,800,000","950,000,000","372,500,000","221,300,000","225,300,000","272,500,000","247,300,000","92,500,000","33,900,000","202,700,000","218,600,000"
NetDebt,"1,504,900,000","1,632,800,000","1,982,500,000","1,280,600,000","1,266,000,000","1,091,900,000","695,000,000","440,700,000","650,700,000","664,100,000","542,600,000","738,500,000","914,800,000","1,049,900,000","433,100,000","313,300,000","515,000,000","601,700,000","729,700,000","869,100,000","829,800,000","919,700,000","361,900,000","208,300,000","214,700,000","265,500,000","236,600,000","90,200,000","33,000,000","199,800,000","217,500,000"
ShareIssued,"68,200,000","68,200,000","68,100,000","68,100,000","68,100,000","68,100,000","68,100,000","68,100,000","68,100,000","68,300,000","68,600,000","68,600,000","68,600,000","64,100,000","66,600,000","67,800,000","65,600,000","64,000,000","60,200,000","57,400,000","55,800,000","36,800,000","36,612,000","37,352,000","37,150,000","37,388,000","37,334,000","37,316,000","41,912,000","41,800,000","41,800,000"
OrdinarySharesNumber,"55,800,000","55,800,000","55,300,000","58,100,000","60,300,000","61,400,000","60,700,000","62,000,000","61,300,000","60,800,000","66,800,000","66,200,000","65,200,000","64,100,000","66,600,000","67,800,000","65,600,000","64,000,000","60,200,000","57,400,000","55,800,000","36,800,000","36,612,000","37,352,000","37,150,000","37,388,000","37,334,000","37,316,000","41,912,000","41,800,000","41,800,000"
TreasurySharesNumber,"12,400,000","12,400,000","12,800,000","10,000,000","7,800,000","6,700,000","7,400,000","6,100,000","6,800,000","7,500,000","1,800,000","2,400,000","3,400,000",,,,,,,,,,,,,,,,,,
