,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
68,"	StockholdersEquity","-975,000,000","-530,000,000","-574,000,000","878,000,000","714,000,000","950,000,000","1,255,000,000","1,623,000,000","1,930,000,000","2,232,000,000","2,917,000,000","2,688,000,000","2,342,000,000","3,516,000,000","3,559,000,000","5,033,000,000","4,679,000,000","4,283,000,000","3,860,000,000","2,569,000,000"
69,"		CapitalStock","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,,,,
70,"			PreferredStock",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
71,"			CommonStock","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000",,,,,
72,"		AdditionalPaidInCapital","4,157,000,000","4,118,000,000","4,077,000,000","3,996,000,000","3,966,000,000","3,923,000,000","3,889,000,000","3,858,000,000","3,820,000,000","3,818,000,000","3,892,000,000","3,733,000,000","3,690,000,000","3,652,000,000","3,566,000,000",,,,,
73,"		RetainedEarnings","1,390,000,000","1,785,000,000","1,442,000,000","2,609,000,000","1,977,000,000","1,592,000,000","1,183,000,000","832,000,000","558,000,000","293,000,000","-25,000,000","-315,000,000","-578,000,000","525,000,000","156,000,000",,,,,
74,"		TreasuryStock","6,508,000,000","6,383,000,000","6,043,000,000","5,719,000,000","5,118,000,000","4,493,000,000","3,843,000,000","3,191,000,000","2,601,000,000","2,009,000,000","1,107,000,000","870,000,000","870,000,000","857,000,000","349,000,000",,,,,
75,"		GainsLossesNotAffectingRetainedEarnings","-16,000,000","-52,000,000","-52,000,000","-10,000,000","-113,000,000","-74,000,000","24,000,000","122,000,000","151,000,000","128,000,000","155,000,000","138,000,000","98,000,000","194,000,000","184,000,000","5,033,000,000",,,,
76,"			ForeignCurrencyTranslationAdjustments",,,,,,,,,,,,,,"217,000,000","191,000,000",,,,,
77,"			OtherEquityAdjustments",,,,,,,,,,,,,,"-23,000,000","-7,000,000",,,,,
