"","entity.cik","entity.name","period.start","period.end","period.fiscal.year","location","CurrentRatio","DERatio","NetMargin","OperatingMargin","QuickRatio","ROA1","ROC1","ROE1","eps","const","sin1","cos1","sin2","cos2","sin3","cos3","sin4","cos4","sin5","cos5","sin6","cos6","BurntArea"
"234",1477246,"S&W Seed Co","1/7/12","30/6/13",2013,"CO",1.712193913,0.108191445,-0.067384692,-0.090209565,0.858124829,-0.029398602,0.033881864,-0.050263177,-0.29,26.6955217467899,-11.8666773886625,-29.6675197769374,1.56134557543642,0.831911121894764,-0.84177659225793,-2.28399739379446,-1.23283975889147,-0.670955567420637,1.11417408239451,-0.114979881252885,1.15043845547969,-1.11787993289082e-05,246445
"235",1477246,"S&W Seed Co","1/7/11","30/6/12",2012,"CO",9.154378034,0,0.026494568,0.043796351,5.940536857,0.017011899,0.017011899,0.018620316,0.06,30.2892384973607,-6.69206371265804,-30.1389915325062,2.82650701814891,-0.918178148559572,-0.546461964044967,-0.693686266448473,0.240769680471779,1.46908038294077,3.17455429280786,1.26048779251609,0.739538418173606,1.23380118402864e-05,161167
"236",1477246,"S&W Seed Co","1/7/10","30/6/11",2011,"CO",19.52516735,0,-0.30456833,-0.562369757,10.00559162,-0.053535266,-0.053535266,-0.055722654,-0.14,26.4876756498816,-11.5864430914578,-27.8373270384547,2.54052909268615,-0.990656593093544,-1.42778704628321,-0.284633649194556,-1.62705149710885,3.32599635398595,-0.148556468135225,0.960324189011356,-0.201673739008382,1.33119403832464e-05,44020
"237",1477246,"S&W Seed Co","1/7/09","30/6/10",2010,"CO",39.4373655,0,0.062799367,0.064729527,31.15249064,0.024678907,0.024678907,0.025209017,0.11,23.4144401669853,-8.64034388680882,-29.140009438758,2.31578841070093,-0.140360695024316,-0.967061584995904,-1.20204311719496,-0.0618717974780609,-0.174117766659512,4.01083198539612,-2.11048429857163,1.84119142447909,1.88609576707264e-06,50456
"238",1302946,"TWO RIVERS WATER & FARMING Co","1/1/18","31/12/18",2018,"CO",0.003185347,-0.714880493,56.28787879,-97.37878788,0.003185347,0.121029484,0.423098224,-0.286430224,0.08,28.8048709552742,-7.57982440662013,-29.6046419539256,3.04532810029572,0.676347631187715,1.82009650777452,0.764122990501292,-0.918177474574461,1.29026776442526,0.652322471522404,0.27814112839855,1.41028731179847,-9.08841611340882e-06,475803
"239",1302946,"TWO RIVERS WATER & FARMING Co","1/1/17","31/12/17",2017,"CO",0.002825201,-0.951159827,-18.34971098,-13.10693642,0.002825201,-0.332826588,0.156191025,0.647361713,-0.4,30.2623917098434,-7.82614411724918,-25.2375378682374,2.76363678184285,-0.749886735885585,-1.56923784539822,-4.08186591830264,-2.15561342413573,-0.445194430345122,0.0226440496219254,-1.40595795879709,0.401714492750692,1.00765972723566e-05,111667
"240",1302946,"TWO RIVERS WATER & FARMING Co","1/1/16","31/12/16",2016,"CO",0.168111652,-1.71293132,-29.84926471,-13.25367647,0.168111652,-0.1699709,0.155316432,0.89505016,-0.38,29.2081501183032,-10.0417556145888,-26.9004241426495,2.03695483015675,-1.43153766789286,0.90528511498255,-4.66037081944159,0.107833704176054,0.312105586427181,1.22725197327664,-1.14107247020565,-0.0187793359117465,1.92362764508418e-05,129495
"241",1302946,"TWO RIVERS WATER & FARMING Co","1/1/15","31/12/15",2015,"CO",0.416195976,0.472240072,-1.089586969,-0.64921466,0.416195976,-0.078222556,0.228695525,-0.120357281,-0.22,29.449771205959,-9.29216011576556,-26.3640112186995,4.5868736334526,-2.59755674141981,1.67171750654406,-1.82413795903953,-0.53563298959581,2.13819883441775,1.87465455366095,0.150510772603935,-0.231271605461683,3.49046488216893e-05,22602
"242",1302946,"TWO RIVERS WATER & FARMING Co","1/1/14","31/12/14",2014,"CO",0.500823723,0.465934832,-1.91543514,-1.408456486,0.500823723,-0.108435975,0.202277481,-0.162606726,-0.24,26.8967283156025,-9.96721503836171,-27.4803404700612,2.28149555435721,-0.995252787137159,0.73005932862284,-0.547616665540063,0.133289529424167,1.99490379081286,-0.419283717315255,0.755838227452174,0.200653123212177,1.33737017063003e-05,2494
"243",1302946,"TWO RIVERS WATER & FARMING Co","1/1/13","31/12/13",2013,"CO",0.723663144,0.613631041,-2.415112386,-1.483978957,0.723663144,-0.121097309,0.255863028,-0.19712702,-0.2,25.423041753496,-11.0847505666503,-30.4688584335672,2.86814834354694,-0.213192692946254,0.807135580850479,-0.917986818838389,-2.29279203797281,0.116963048412538,1.15824713006543,-0.780639249825086,1.39538631689007,2.86477518079055e-06,195145
"244",1302946,"TWO RIVERS WATER & FARMING Co","1/1/12","31/12/12",2012,"CO",0.136048241,0.548502395,-13.53395349,-7.338604651,0.136048241,-0.32729686,0.017929452,-0.520015727,-0.61,31.1492017233187,-7.35334396501937,-29.116904242781,1.56828579636945,-0.558260799605532,-1.31404905582979,-1.28229479566549,-0.223799130306366,1.07226333911183,3.16683456786194,-0.0325956601426634,1.53459835133433,7.50162522131052e-06,246445
"245",1302946,"TWO RIVERS WATER & FARMING Co","1/1/11","31/12/11",2011,"CO",0.918825561,0.610019823,-58.54285714,-63.23809524,0.918825561,-0.173360032,0.208500197,-0.276941791,-0.27,25.6075051645021,-10.9141072258913,-29.6576107724883,3.60891486097999,-0.993485020197307,-2.08798700018592,-1.40613641396593,0.00494974379824744,1.29822860018109,1.85110173262753,0.894608118353142,0.419064966312947,1.33499473512653e-05,161167
"246",1302946,"TWO RIVERS WATER Co","1/1/10","31/12/10",2010,"CO",1.211438475,0.521808723,-48.29591837,-38.81122449,1.211438475,-0.348040297,-0.012427384,-0.541130738,-0.67,26.8768097313155,-11.575804905475,-27.9155340450959,2.16841077866596,-0.129754093385196,-0.537513036765151,0.430125899375502,-0.858073442738631,3.20372608173619,0.190304340644742,0.428032774895646,-0.389467099384787,1.74356963560771e-06,44020
"247",1302946,"Two Rivers Water Company","1/1/09","31/12/09",2009,"CO",1.387835703,0.402498712,-281.8181818,-197.1818182,1.387835703,-0.276662204,0.002231147,-0.399278722,-0.33,25.0079269099486,-6.86429540384756,-27.0386992793399,4.12494069656298,-0.492146316055036,0.629889069406126,-1.20088841696427,0.54659313657764,-3.04430524262591,1.73129026685079,-1.49729627747261,2.598896808973,6.61321235712109e-06,50456
"248",1302946,"TWO RIVERS WATER & FARMING Co","1/1/08","31/12/08",2008,"CO",1.912206855,0.180954859,0.571230021,-1.291174427,1.912206855,0.087914439,0.236684492,0.106933784,0.02,24.5555729740386,-11.339961930621,-28.3484053712186,1.74730267026347,-0.599626545998092,-1.17866043470076,-2.81082945179798,-0.0197989751929776,-1.01572099284608,-0.163037585933645,-0.482593196024196,0.328434257507463,8.05747712099271e-06,141964
"249",1302946,"TWO RIVERS WATER Co","1/1/07","31/12/07",2007,"CO",10.36043956,0.031891169,2.726303318,-1.078199052,10.36043956,0.244189748,0.274541017,0.256578947,0.26,27.1166987681637,-9.96538487223751,-30.2018558170738,2.70913563553214,-3.38633434998216,-1.7075132182856,-3.21670664317958,-0.988534547135225,-1.16554800425063,0.639382974552836,0.648853892656888,0.911818413969336,4.55038418982011e-05,20739
"251",16160,"CAL-MAINE FOODS, INC.","2/6/19","31/5/20",2020,"MS",5.604573796,0.000848788,0.013606746,0.000938881,3.59545196,0.015240815,0.01595102,0.018214772,0.38,66.2428604857409,-6.58065798668431,-21.7916629144994,4.43908775351469,-2.82029537584126,1.04500386315999,0.882191106140782,-2.8167577743299,3.16330953097584,-0.149841568407386,1.70215786352498,0.70544984090291,3.78976975169797e-05,5473
"252",16160,"CAL-MAINE FOODS, INC.","3/6/18","1/6/19",2019,"MS",7.579438504,0.002368684,0.039839464,0.03363312,5.280093983,0.046899621,0.048920761,0.054964201,1.12,65.5119350449468,-6.83349915296985,-23.8466634591656,2.25802127768008,-1.39300034860406,3.53280587724763,0.256343489214256,-0.877518864803161,0.0971630210198423,-2.20949428992376,-0.429335266960406,-1.0316387425023,1.87184315168955e-05,21194
"253",16160,"CAL-MAINE FOODS, INC.","4/6/17","2/6/18",2018,"MS",5.448172258,0.006388114,0.083790883,0.06687395,3.884307943,0.109463539,0.114757134,0.13209655,2.6,63.9314386830402,-6.63488147925397,-22.9740366720674,1.13717560467062,-2.43704350328117,1.4719543356914,-3.05562593707794,-1.67619538196285,-4.02961176040485,-3.23860891057216,0.230535988859699,0.158603740280893,3.27477534146217e-05,40595
"254",16160,"CAL-MAINE FOODS INC","29/5/16","3/6/17",2017,"MS",6.74416735,0.012981095,-0.06912713,-0.124843534,4.259713354,-0.071898588,-0.061310007,-0.088144234,-1.54,69.8564958205988,-6.62969979818669,-20.3274988973818,3.20107482175136,-2.02798223339921,1.37928962968767,-1.06059231824184,0.59750478707387,0.588693597943751,1.08369658297121,-1.35749707428908,-0.24535610757233,2.72509957323865e-05,8128
"255",16160,"CAL-MAINE FOODS INC","31/5/15","28/5/16",2016,"MS",7.504799223,0.027936959,0.165583528,0.247230765,5.649830439,0.284269607,0.307269072,0.345296222,6.56,67.1963544553076,-7.6940641218596,-21.083057622163,-0.330681112885506,-1.17662567516607,-2.68496710863139,-1.07011859684961,-2.74003674545709,0.88712287679041,-1.59493114632718,-0.290941514242827,-0.51745235708195,1.58108984998014e-05,37769
