name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
EBIT,"141,000,000","-84,000,000","842,000,000","566,000,000","746,000,000","1,076,000,000","1,041,000,000","958,000,000","814,000,000","760,000,000","802,000,000","730,000,000","607,000,000","-807,000,000","726,000,000","577,000,000","620,000,000","3,014,000,000","2,652,000,000","2,241,000,000","1,556,000,000"
EBITDA,"267,000,000"
ReconciledCostOfRevenue,"1,176,000,000","1,233,000,000","1,940,000,000","1,913,000,000","2,418,000,000","2,732,000,000","2,700,000,000","2,504,000,000","2,394,000,000","2,093,000,000","2,025,000,000","1,876,000,000","1,823,000,000","2,031,000,000","2,118,000,000","1,791,000,000","1,540,000,000",,,,
ReconciledDepreciation,"126,000,000","126,000,000","121,000,000","138,000,000","213,000,000","252,000,000","234,000,000","233,000,000","216,000,000","185,000,000","178,000,000","173,000,000","178,000,000","184,000,000","166,000,000","148,000,000","131,000,000",,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-90,000,000","-253,000,000","489,000,000","266,000,000","818,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","352,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
TotalUnusualItemsExcludingGoodwill,"-144,000,000","-179,000,000","-13,000,000","-235,000,000","-312,000,000","-26,000,000","-13,000,000","-46,000,000","-129,000,000","-123,000,000","-52,000,000","-6,000,000","-56,000,000","-1,494,000,000","-9,000,000","-99,000,000","136,000,000","0","0",,
TotalUnusualItems,"-144,000,000","-179,000,000","-13,000,000","-235,000,000","-312,000,000","-26,000,000","-13,000,000","-46,000,000","-129,000,000","-123,000,000","-52,000,000","-6,000,000","-56,000,000","-1,494,000,000","-9,000,000","-99,000,000","136,000,000","0","0",,
NormalizedEBITDA,"411,000,000","221,000,000","976,000,000","939,000,000","1,271,000,000","1,354,000,000","1,288,000,000","1,237,000,000","1,159,000,000","1,068,000,000","1,032,000,000","909,000,000","841,000,000","871,000,000","901,000,000","824,000,000","615,000,000","3,014,000,000","2,652,000,000","2,241,000,000","1,556,000,000"
TaxRateForCalcs,"0.4","0.083","0.281","0.328","0.4","0.349","0.332","0.374","0.366","0.365","0.358","0.327","0.35","0.35","0.385","0.351","0.312","0.399","0.372","0.371","0.4"
TaxEffectOfUnusualItems,"-57,600,000","-14,857,000","-3,653,000","-77,080,000","-124,800,000","-9,074,000","-4,316,000","-17,204,000","-47,214,000","-44,895,000","-18,640,000","-1,960,923.623","-19,600,000","-522,900,000","-3,462,595.42","-34,704,797.048","42,364,217.252","0","0","0","0"
