name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
		PayablesAndAccruedExpenses,"168,531,000","283,026,000","305,327,000","271,516,000","264,467,000","465,586,000","462,139,000","751,743,000","752,937,000","585,345,000","556,119,000","377,985,000","270,432,000","314,309,000","289,362,000","172,472,000","143,923,000","135,689,000","115,908,000","86,771,000","56,394,000","56,600,000","78,900,000","77,400,000","66,900,000","30,800,000","34,700,000","9,100,000","4,600,000","10,100,000","10,300,000","8,400,000",,,,
			Payables,"131,978,000","138,923,000","154,943,000","118,423,000","154,785,000","311,161,000","359,619,000","600,582,000","551,773,000","530,926,000","390,196,000","266,560,000","259,107,000","198,395,000","196,111,000","93,914,000","83,012,000","87,178,000","64,783,000","46,996,000","56,394,000","56,600,000","78,900,000","77,400,000","66,900,000","30,800,000","34,700,000","9,100,000","4,600,000","10,100,000","10,300,000","8,400,000",,,,
				AccountsPayable,"95,159,000","108,208,000","125,557,000","84,032,000","108,224,000","223,221,000","265,389,000","347,214,000","350,147,000","436,006,000","374,814,000","197,800,000","259,107,000","198,395,000","196,111,000","93,914,000","83,012,000","87,178,000","64,783,000","46,996,000","56,394,000","56,600,000","78,900,000","77,400,000","66,900,000","30,800,000","34,700,000","9,100,000","4,600,000","10,100,000","10,300,000","8,400,000",,,,
				TotalTaxPayable,"36,819,000","30,715,000","29,386,000","34,391,000","46,561,000","87,940,000","94,230,000","125,119,000","135,257,000","94,920,000","15,382,000","68,760,000",,,,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,,,,,,,"0","128,249,000","66,369,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"36,553,000","144,103,000","150,384,000","153,093,000","109,682,000","154,425,000","102,520,000","151,161,000","201,164,000","54,419,000","165,923,000","111,425,000","11,325,000","115,914,000","93,251,000","78,558,000","60,911,000","48,511,000","51,125,000","39,775,000",,,,,,,,,,,,,,,,
				InterestPayable,"0","88,047,000","100,100,000","98,189,000","61,299,000","72,961,000",,,"68,436,000","54,419,000","40,260,000","11,258,000",,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,"117,907,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,"62,505,000",,"249,843,000","299,882,000","299,997,000",,,,,"80,213,000",,"172,698,000","10,334,000","9,629,000","8,972,000","8,361,000","47,666,000","80,577,000","55,430,000","49,351,000","59,500,000","148,800,000","9,700,000","3,600,000","12,200,000","6,200,000","500,000","23,900,000","36,500,000","14,500,000","2,400,000","2,200,000","300,000","300,000","800,000"
			CurrentDebt,,"62,505,000",,"249,843,000","299,882,000","299,997,000",,,,,"80,213,000",,"172,698,000","10,334,000","9,629,000","8,972,000","8,361,000","47,666,000","80,577,000","55,430,000","49,351,000","59,500,000","148,800,000","9,700,000","3,600,000","12,200,000","6,200,000","500,000","23,900,000","36,500,000","14,500,000","2,400,000","2,200,000","300,000","300,000","800,000"
				OtherCurrentBorrowings,,,,"249,843,000","299,882,000","299,997,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"49,820,000","171,397,000","60,130,000","71,665,000","68,944,000","98,074,000","206,535,000","300,172,000","158,512,000","123,928,000","84,049,000","55,962,000","235,863,000","168,129,000","127,269,000","77,891,000","61,882,000","60,668,000","84,175,000","65,348,000","99,683,000","117,200,000","121,800,000","65,800,000","81,000,000","43,400,000","41,400,000","32,700,000","26,600,000","24,800,000","14,700,000","13,500,000","14,500,000","4,900,000","4,500,000","10,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,356,974,000","4,108,598,000","4,244,892,000","4,251,007,000","4,339,379,000","4,606,097,000","5,331,114,000","6,116,014,000","5,208,035,000","4,570,127,000","3,213,306,000","1,174,517,000","1,137,091,000","1,080,508,000","938,009,000","1,363,204,000","717,904,000","773,465,000","801,548,000","769,806,000","817,121,000","803,900,000","518,600,000","203,800,000","290,100,000","131,300,000","129,400,000","128,200,000","42,900,000","75,000,000","62,200,000","33,600,000","36,900,000","11,200,000","39,900,000","76,000,000"
