Date,High,Low,Open,Close,Volume,Adj Close
2020-09-14,47,42,42,47,14100,47
2020-09-15,51,43,51,43,85400,43
2020-09-16,47,39,47,39,232500,39
2020-09-17,42,36,42,36,57600,36
2020-09-18,39,33,33,39,219500,39
2020-09-21,42,36,42,39,14100,39
2020-09-22,42,36,42,41,79700,41
2020-09-23,45,37,45,37,265900,37
2020-09-24,39,35,35,38,14200,38
2020-09-25,41,37,41,39,49200,39
2020-09-28,42,39,42,40,190600,40
2020-09-29,44,36,44,36,180200,36
2020-09-30,39,36,39,36,290300,36
2020-10-01,39,36,39,36,138500,36
2020-10-02,39,35,39,35,334700,35
2020-10-05,38,35,38,35,102100,35
2020-10-06,38,35,38,35,50300,35
2020-10-07,38,35,38,35,53200,35
2020-10-08,38,34,38,35,133700,35
2020-10-09,38,35,38,35,87700,35
2020-10-12,38,35,38,35,119200,35
2020-10-13,38,34,38,34,28300,34
2020-10-14,36,34,36,35,30900,35
2020-10-15,37,34,37,34,26700,34
2020-10-16,37,34,37,34,798400,34
2020-10-19,37,34,37,34,707700,34
2020-10-20,37,33,37,34,738900,34
2020-10-21,37,32,37,34,281300,34
2020-10-22,35,33,35,33,118300,33
2020-10-23,34,33,34,34,63100,34
2020-10-26,37,33,37,33,40300,33
2020-10-27,36,32,36,33,87100,33
2020-11-02,35,33,35,34,34000,34
2020-11-03,37,33,37,34,224300,34
2020-11-04,36,32,36,34,66600,34
2020-11-05,35,32,35,34,94800,34
2020-11-06,35,32,35,34,15700,34
2020-11-09,37,33,37,34,65600,34
2020-11-10,37,33,37,33,44700,33
2020-11-11,36,32,36,32,60800,32
2020-11-12,34,32,34,33,31000,33
2020-11-13,36,32,36,35,230500,35
2020-11-16,38,33,38,34,100000,34
2020-11-17,37,33,37,34,72100,34
2020-11-18,37,33,37,34,134800,34
2020-11-19,35,33,35,34,123800,34
2020-11-20,35,33,35,34,108600,34
2020-11-23,35,34,35,35,108300,35
2020-11-24,35,34,35,35,56900,35
2020-11-25,37,35,36,36,217000,36
2020-11-26,36,34,36,36,250500,36
2020-11-27,39,35,39,36,51400,36
2020-11-30,36,35,36,35,98600,35
2020-12-01,38,34,38,36,37800,36
2020-12-02,36,35,36,36,92700,36
2020-12-03,39,35,39,36,147900,36
2020-12-04,39,35,39,37,506900,37
2020-12-07,40,36,40,40,356000,40
2020-12-08,44,41,44,44,275100,44
2020-12-10,48,44,48,48,288800,48
2020-12-11,52,50,52,52,500400,52
2020-12-14,57,56,56,57,161400,57
2020-12-15,62,58,62,62,134700,62
2020-12-16,68,68,68,68,603600,68
2020-12-17,74,69,74,74,1668100,74
2020-12-18,81,74,81,81,2004000,81
2020-12-21,89,82,89,89,445200,89
2020-12-22,97,81,97,81,323000,81
2020-12-23,89,73,89,73,144300,73
2020-12-28,78,66,66,66,442800,66
2020-12-29,70,60,66,60,87900,60
2020-12-30,66,54,66,54,84600,54
