name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
OperatingIncome,"1,009,500,000","883,900,000","922,300,000","324,600,000","492,000,000","172,100,000","581,800,000","700,700,000","690,500,000","619,700,000","539,000,000","467,500,000","550,300,000","392,900,000","328,700,000","279,900,000","228,800,000","196,600,000","186,900,000","-131,900,000","376,500,000","374,400,000","364,000,000","322,900,000","472,500,000","359,900,000","314,700,000","57,600,000","306,900,000","324,700,000","307,200,000","301,000,000","281,100,000","268,900,000","248,800,000"
NetNonOperatingInterestIncomeExpense,"-151,200,000","-158,500,000","-133,100,000","-79,100,000","-82,700,000","-80,100,000","-59,500,000","-42,200,000","-45,300,000","-39,400,000","-39,300,000","-27,000,000","-31,900,000",,,,,,,,,,,,,,,,,,,,,,
"	InterestIncomeNonOperating","100,000","1,900,000","1,400,000","900,000","600,000","1,300,000","200,000","200,000","100,000","100,000","200,000","200,000","1,000,000",,,,,,,,,,,,,,,,,,,,,,
"	InterestExpenseNonOperating","151,300,000","160,400,000","134,500,000","80,000,000","83,300,000","81,400,000","59,700,000","42,400,000","45,400,000","39,500,000","39,500,000","27,200,000","32,900,000",,,,,,,,,,,,,,,,,,,,,,
"	TotalOtherFinanceCost",,,,,,,,,,,"39,300,000",,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-128,500,000","-70,400,000","-45,500,000","-64,700,000","-70,000,000","-222,500,000","-37,300,000","-42,600,000","-32,600,000","-29,800,000","-149,200,000","-130,500,000","-46,500,000","-162,700,000","-74,500,000","-21,000,000","-15,500,000","-63,500,000","-25,400,000","-280,400,000","-56,600,000","11,700,000","12,000,000","-255,400,000","10,100,000","33,400,000","67,000,000","56,200,000","71,400,000","59,000,000","62,800,000","86,200,000","105,500,000","156,000,000","104,800,000"
"	GainOnSaleOfSecurity",,,,,"-4,200,000","-10,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest",0,0,"100,000","100,000","500,000","-200,000","-900,000","-900,000","-300,000","2,600,000","2,700,000","2,300,000","3,100,000","2,500,000","2,300,000","70,600,000","-2,100,000","-68,600,000","4,700,000",,,,,,,,,,,,,,,,
"	SpecialIncomeCharges","-108,200,000","-62,300,000","-39,200,000","-58,400,000","-53,400,000","-191,100,000","-40,900,000","-9,600,000","-28,300,000","-32,400,000","-151,900,000","-132,800,000","-49,600,000","-165,200,000","-76,800,000","-91,600,000","-13,400,000","5,100,000","-30,100,000","-280,400,000","-56,600,000","11,700,000","12,000,000","-255,400,000","10,100,000","33,400,000","67,000,000","56,200,000","71,400,000","59,000,000","62,800,000","86,200,000","105,500,000","156,000,000","104,800,000"
"		RestructuringAndMergernAcquisition","108,200,000","62,200,000","126,400,000","16,300,000","53,400,000","217,700,000","40,900,000","9,600,000","28,300,000","32,400,000","151,900,000","132,800,000","49,600,000","162,900,000","74,800,000","40,400,000","3,500,000","-5,100,000","30,100,000","280,400,000",,,,,,,,,,,,,,,
"		ImpairmentOfCapitalAssets",,0,0,"42,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges",,,"2,600,000","6,400,000","12,900,000","20,500,000","-4,500,000","32,100,000","4,000,000",,,,,"2,300,000","2,000,000","51,200,000","9,900,000",,,,,,,,,,,,,,,,,,
"		GainOnSaleOfBusiness",0,"-100,000","87,200,000",0,0,"26,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","-20,300,000","-8,100,000","-6,400,000","-6,400,000","-12,900,000","-20,500,000","4,500,000","-32,100,000","-4,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"729,800,000","655,000,000","743,700,000","180,800,000","339,300,000","-130,500,000","485,000,000","615,900,000","612,600,000","550,500,000","350,500,000","310,000,000","454,900,000","185,700,000","213,500,000","193,300,000","131,100,000","38,000,000","86,500,000","-472,900,000","222,600,000","274,300,000","249,500,000","-59,700,000","322,600,000","246,900,000","252,300,000","37,800,000","279,600,000","255,900,000","211,400,000","218,300,000","189,500,000","201,400,000","192,600,000"
TaxProvision,"150,900,000","111,500,000","88,800,000","264,100,000","93,900,000","47,400,000","73,500,000","148,600,000","146,700,000","136,500,000","132,000,000","53,000,000","125,400,000","29,000,000","68,700,000","82,300,000","-44,500,000","-1,800,000","17,400,000","-166,600,000","45,300,000","58,300,000","64,200,000","-35,200,000","104,500,000","31,300,000","78,900,000","-3,200,000","87,000,000","82,800,000","56,100,000","61,600,000","60,300,000","10,200,000","40,100,000"
NetIncomeCommonStockholders,"550,100,000","475,900,000","499,200,000","535,800,000","208,400,000","489,000,000","306,600,000","292,300,000","414,200,000","365,900,000","172,500,000","228,500,000","304,600,000","132,400,000","132,000,000","116,600,000","160,200,000","26,500,000","65,800,000","-337,700,000","110,600,000","212,600,000","106,500,000","162,400,000","210,700,000","215,600,000","173,400,000","36,300,000","-75,700,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
"	NetIncome","551,500,000","477,400,000","502,100,000","535,800,000","209,100,000","489,000,000","307,500,000","293,900,000","416,200,000","365,900,000","172,500,000","228,500,000","304,600,000","132,400,000","132,000,000","116,600,000","160,200,000","26,500,000","65,800,000","-337,700,000","110,600,000","212,600,000","106,500,000","162,400,000","210,700,000","215,600,000","173,400,000","36,300,000","-75,700,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
"		NetIncomeIncludingNoncontrollingInterests","550,600,000","480,200,000","511,500,000","538,400,000","211,700,000","498,500,000","322,100,000","308,000,000","435,700,000","382,200,000","184,900,000","228,500,000","321,600,000","142,000,000","139,800,000","124,100,000","164,000,000","29,400,000","69,200,000","-335,400,000","115,200,000","217,700,000","112,700,000","171,300,000","267,600,000","274,700,000","234,800,000","38,800,000","-72,100,000","176,100,000","163,400,000","163,600,000","129,200,000","191,200,000","152,500,000"
"			NetIncomeContinuousOperations","578,900,000","543,500,000","654,900,000","-83,300,000","245,400,000","-177,900,000","411,500,000","467,300,000","465,900,000","414,000,000","218,500,000","257,000,000","329,500,000","156,700,000","144,800,000","111,000,000","175,600,000","39,800,000","69,100,000","-306,300,000","177,300,000","216,000,000","185,300,000","-24,500,000","218,100,000","215,600,000","173,400,000","41,000,000","192,600,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
"			NetIncomeDiscontinuousOperations","-28,300,000","-63,300,000","-143,400,000","621,700,000","-33,700,000","676,400,000","-89,400,000","-159,300,000","-30,200,000","-31,800,000","-33,600,000","-18,200,000","-24,900,000","-24,300,000","-12,800,000","6,100,000","-15,400,000","-13,300,000","-3,300,000","-30,500,000","-66,700,000","-3,400,000","-42,700,000","191,400,000","-7,400,000",,,,"-73,200,000",,,,,,
"			NetIncomeExtraordinary",,,,,,,,,,,,,,,,"-500,000",,,,"-900,000",,,"-36,100,000","-4,500,000",,,,,"-183,700,000",,,,,,
"			NetIncomeFromTaxLossCarryforward",,,,,,,,,,,,"-10,300,000",,,,,,,,,,,,,,,,"-4,700,000","-11,400,000",,,,,,
"		MinorityInterests","900,000","-2,800,000","-9,400,000","-2,600,000","-2,600,000","-9,500,000","-14,600,000","-14,100,000","-19,500,000","-16,300,000","-12,400,000","-10,300,000","-17,000,000","-9,600,000","-7,800,000","-7,500,000","-3,800,000","-2,900,000","-3,400,000","-2,300,000","-4,600,000","-5,100,000","-6,200,000","-8,900,000","-56,900,000","-59,100,000","-61,400,000","-2,500,000","-3,600,000","-3,000,000","-8,100,000","-6,900,000",,,
"	OtherunderPreferredStockDividend","1,400,000","1,500,000","2,900,000",0,"700,000",0,"900,000","1,600,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"550,100,000","475,900,000","499,200,000","535,800,000","208,400,000","489,000,000","306,600,000","292,300,000","414,200,000","365,900,000","172,500,000","228,500,000","304,600,000","132,400,000","132,000,000","116,600,000","160,200,000","26,500,000","65,800,000","-337,700,000","110,600,000","212,600,000","106,500,000","162,400,000","210,700,000","215,600,000","173,400,000","36,300,000","-75,700,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
BasicEPS,,3.64,3.72,3.99,1.56,3.66,2.3,2.16,3.01,2.565,1.19,1.575,2.065,0.88,0.863,0.775,1.108,0.188,0.49,-2.715,0.908,1.688,0.783,1.103,1.385,1.43,1.165,0.126,-0.265,0.618,0.559,0.57,0.473,0.568,0.205
DilutedEPS,,3.62,3.69,3.99,1.56,3.66,2.29,2.16,3,2.55,1.18,1.56,2.01,0.855,0.835,0.743,1.07,0.188,0.48,-2.715,0.875,1.643,0.763,1.103,1.385,1.43,1.163,0.126,-0.265,0.596,0.538,0.544,0.45,0.565,0.203
