name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
		MinorityInterests,"-1,900,000","-1,200,000","500,000","0","-500,000","500,000","1,100,000","300,000",,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,"6,400,000","9,700,000","9,800,000","9,800,000","9,800,000","1,100,000",,,,,
DilutedNIAvailtoComStockholders,"483,200,000","387,400,000","460,700,000","63,700,000","218,300,000","315,300,000","159,800,000","166,500,000","161,100,000","106,500,000","167,900,000","204,100,000","153,300,000","-10,900,000","113,400,000","132,700,000","100,600,000","100,900,000","103,800,000","82,500,000","15,500,000","66,700,000","53,500,000","26,500,000","29,700,000","-12,300,000","24,000,000","22,900,000","7,800,000","15,600,000","1,700,000","-6,900,000"
BasicEPS,,"6.96","8.3","1.13","3.68","5.16","2.62","2.7","2.61","1.75","2.6","3.08","2.36","-0.17","1.74","1.97","1.51","1.56","1.68","1.405","0.275","1.195","1.465","0.71","0.675","-0.325","0.555","0.61","0.2","0.435","0.075","-0.19"
DilutedEPS,,"6.81","8.18","1.12","3.63","5.09","2.57","2.65","2.57","1.71","2.54","3.02","2.32","-0.17","1.69","1.91","1.47","1.515","1.615","1.305","0.255","1.125","1.04","0.6","0.675","-0.325","0.555","0.61","0.2","0.435","0.075","-0.19"
BasicAverageShares,,"55,700,000","55,500,000","56,200,000","59,400,000","61,100,000","61,100,000","61,600,000","61,700,000","61,000,000","64,700,000","66,300,000","64,957,627","64,500,000","65,172,414","67,360,406","66,622,517","64,600,000","61,800,000","58,600,000","56,800,000","55,800,000","36,600,000","37,400,000","58,600,000","37,572,000","45,234,000","37,570,000","39,000,000","35,862,069","50,000,000","36,315,789"
DilutedAverageShares,,"56,900,000","56,300,000","57,100,000","60,200,000","62,000,000","62,200,000","62,700,000","62,600,000","62,100,000","66,200,000","67,600,000","66,077,586","64,500,000","67,100,592","69,476,440","68,435,374","66,600,000","64,200,000","63,400,000","60,800,000","59,200,000","61,000,000","60,600,000","58,600,000","38,000,000","45,234,000","37,657,658","39,000,000","35,862,069","50,000,000","36,315,789"
TotalOperatingIncomeAsReported,"681,800,000","585,200,000","409,600,000","198,900,000","433,400,000","459,300,000","294,600,000","314,600,000","313,200,000","243,600,000","247,000,000","384,600,000","267,100,000","98,000,000","277,200,000","252,500,000","200,900,000","252,800,000","232,500,000","239,200,000","116,400,000","174,900,000","163,600,000","113,500,000","102,600,000","48,000,000","66,800,000","59,200,000","44,400,000","42,600,000","37,500,000","30,700,000"
TotalExpenses,"3,829,300,000","3,546,300,000","2,739,000,000","2,331,300,000","2,213,000,000","2,427,200,000","2,650,000,000","2,480,400,000","2,495,200,000","2,576,100,000","2,532,600,000","2,736,800,000","2,866,300,000","2,883,800,000","2,591,900,000","2,435,300,000","2,169,000,000","1,774,800,000","1,651,400,000","1,511,600,000","1,548,300,000","1,589,400,000","1,484,700,000","999,500,000","798,200,000","703,900,000","666,000,000","547,100,000","421,600,000","370,200,000","350,600,000","319,700,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"483,200,000","387,400,000","460,700,000","63,700,000","218,300,000","315,300,000","159,800,000","166,500,000","161,100,000","106,500,000","167,900,000","204,100,000","153,300,000","-10,900,000","113,400,000","132,700,000","100,600,000","100,900,000","103,800,000","101,000,000","15,500,000","73,100,000","69,100,000","37,000,000","39,500,000","-2,500,000","25,100,000","23,900,000","21,000,000","15,100,000","1,700,000","-6,900,000"
